"massspectroscopy_ID","UID","Analysis_C","atom_C","delta_C","percentage_C","amplitude_C","Analysis_N","atom_N","delta_N","percentage_N","amplitude_N","C_N_ratio"
"NiWUE_FLT_580","NiWUE_Rothamsted_031_1974_grain","15832","C",-24.421,43.493010313887,5011,"15832","N",0.944714285714286,1.35105236733515,1437,32.1919500423761
"NiWUE_FLT_582","NiWUE_Rothamsted_061_1974_grain","15834","C",-24.236,43.775381557809,5177,"15834","N",1.62471428571429,1.55921302642934,1719,28.0753051801114
"NiWUE_FLT_584","NiWUE_Rothamsted_071_1974_grain","15836","C",-24.64,44.2613792160308,5188,"15836","N",1.86071428571429,1.6884227953817,1852,26.2146302082025
"NiWUE_FLT_586","NiWUE_Rothamsted_081_1974_grain","15840","C",-24.465,43.4418838305384,5264,"15840","N",1.63571428571429,1.69342621882758,1921,25.6532486314134
"NiWUE_FLT_587","NiWUE_Rothamsted_081_1974_straw","15841","C",-25.135,46.2078377109895,5245,"15841","N",-0.301285714285714,0.509918835673477,540,90.6180248273439
"NiWUE_FLT_588","NiWUE_Rothamsted_091_1974_grain","15842","C",-24.58,42.9476583125083,5178,"15842","N",4.10871428571429,1.80125825462037,2027,23.8431430930818
"NiWUE_FLT_589","NiWUE_Rothamsted_091_1974_straw","15843","C",-25.155,46.5569599418653,5290,"15843","N",1.39171428571429,0.554666718669993,591,83.9368189486866
"NiWUE_FLT_590","NiWUE_Rothamsted_031_1975_grain","15844","C",-22.748,43.7986761797407,5311,"15844","N",1.49771428571429,1.58356654739454,1802,27.6582479288939
"NiWUE_FLT_592","NiWUE_Rothamsted_061_1975_grain","15846","C",-23.382,43.5458079205551,5069,"15846","N",1.63171428571429,1.37656951483617,1488,31.6335698642416
"NiWUE_FLT_594","NiWUE_Rothamsted_071_1975_grain","15853","C",-23.361,43.3561342916467,5197,"15853","N",1.90871428571429,1.44630718933275,1619,29.9771269972384
"NiWUE_FLT_596","NiWUE_Rothamsted_081_1975_grain","15855","C",-23.614,42.4927148714343,5119,"15855","N",1.95071428571429,1.52799586816444,1714,27.8094435703417
"NiWUE_FLT_597","NiWUE_Rothamsted_081_1975_straw","15856","C",-24.932,45.6796960742836,5392,"15856","N",0.527714285714286,0.462124594990314,512,98.8471433234169
"NiWUE_FLT_598","NiWUE_Rothamsted_091_1975_grain","15857","C",-23.511,43.4016409978199,5305,"15857","N",3.73171428571429,1.69367074475109,1950,25.6257841923097
"NiWUE_FLT_599","NiWUE_Rothamsted_091_1975_straw","15858","C",-24.89,45.6174815733153,5381,"15858","N",1.85471428571429,0.566139559291578,628,80.576389380734
"NiWUE_FLT_600","NiWUE_Rothamsted_031_1976_grain","15861","C",-24.2538,43.7361582884151,5032,"15861","N",0.7794,1.77111471792043,1883,24.6941419693968
