"massspectroscopy_ID","UID","Analysis","atom","delta","percentage","amplitude"
"NiWUE_FLT_1000","NiWUE_Rothamsted_031_2016_grain","16537","C",-24.78,43.7327122554809,5579
"NiWUE_FLT_1001","NiWUE_Rothamsted_031_2016_straw","16538","C",-26.6,45.3477492738124,5715
"NiWUE_FLT_1002","NiWUE_Rothamsted_061_2016_grain","16539","C",-25.343,43.6356804653903,5424
"NiWUE_FLT_1003","NiWUE_Rothamsted_061_2016_straw","16540","C",-26.832,45.7747440875801,5753
"NiWUE_FLT_1004","NiWUE_Rothamsted_071_2016_grain","16541","C",-25.727,43.7872911118524,5689
"NiWUE_FLT_1005","NiWUE_Rothamsted_071_2016_straw","16547","C",-26.643,45.9928882581966,5670
"NiWUE_FLT_1006","NiWUE_Rothamsted_081_2016_grain","16548","C",-26.224,43.5539959086427,5452
"NiWUE_FLT_1007","NiWUE_Rothamsted_081_2016_straw","16549","C",-27.065,45.9907648452227,5822
"NiWUE_FLT_1008","NiWUE_Rothamsted_091_2016_grain","16550","C",-26.377,43.3309753111432,5507
"NiWUE_FLT_1009","NiWUE_Rothamsted_091_2016_straw","16551","C",-27.016,45.7161206077064,5908
"NiWUE_FLT_1010","NiWUE_Rothamsted_031_2017_grain","16552","C",-24.786,43.502254932747,5564
"NiWUE_FLT_1011","NiWUE_Rothamsted_031_2017_straw","16554","C",-26.685,45.0061722119624,5694
"NiWUE_FLT_1012","NiWUE_Rothamsted_061_2017_grain","16555","C",-24.818,43.8034665709822,5705
"NiWUE_FLT_1013","NiWUE_Rothamsted_061_2017_straw","16556","C",-26.757,46.2823377776056,5878
"NiWUE_FLT_1014","NiWUE_Rothamsted_071_2017_grain","16557","C",-24.702,44.0189550023691,5707
"NiWUE_FLT_1015","NiWUE_Rothamsted_071_2017_straw","16558","C",-26.664,46.4672482079664,5983
"NiWUE_FLT_1016","NiWUE_Rothamsted_081_2017_grain","16559","C",-24.635,44.0281638218587,5715
"NiWUE_FLT_1017","NiWUE_Rothamsted_081_2017_straw","16560","C",-26.931,46.4502261694545,5839
"NiWUE_FLT_1018","NiWUE_Rothamsted_091_2017_grain","16561","C",-24.653,44.3202843800261,5674
"NiWUE_FLT_1019","NiWUE_Rothamsted_091_2017_straw","16564","C",-26.3472,46.5127148830182,5988
"NiWUE_FLT_1020","NiWUE_Rothamsted_031_2018_grain","16565","C",-25.2512,43.7736633672092,5404
"NiWUE_FLT_1021","NiWUE_Rothamsted_031_2018_straw","16567","C",-27.5472,43.5816001578739,5599
"NiWUE_FLT_1022","NiWUE_Rothamsted_061_2018_grain","16568","C",-25.4562,44.0347844651161,5487
"NiWUE_FLT_1023","NiWUE_Rothamsted_061_2018_straw","16569","C",-27.2552,45.9010294525355,5723
"NiWUE_FLT_1024","NiWUE_Rothamsted_071_2018_grain","16570","C",-25.3772,43.8316926546517,5454
"NiWUE_FLT_1025","NiWUE_Rothamsted_071_2018_straw","16571","C",-27.1912,46.2289781931414,5642
"NiWUE_FLT_1026","NiWUE_Rothamsted_081_2018_grain","16572","C",-25.5242,44.1722114925694,5423
"NiWUE_FLT_1027","NiWUE_Rothamsted_081_2018_straw","16573","C",-27.4122,46.282116117898,5880
"NiWUE_FLT_1028","NiWUE_Rothamsted_091_2018_grain","16579","C",-25.5162,44.2146386420296,5478
"NiWUE_FLT_1029","NiWUE_Rothamsted_091_2018_straw","16580","C",-27.7622,46.0499636768618,5795
"NiWUE_FLT_1030","NiWUE_Rothamsted_031_2019_grain","16581","C",-26.2542,43.7597138116412,5622
"NiWUE_FLT_1031","NiWUE_Rothamsted_031_2019_straw","16582","C",-27.3472,44.7227958756409,5710
"NiWUE_FLT_1032","NiWUE_Rothamsted_061_2019_grain","16583","C",-25.9612,43.7590484839687,5632
"NiWUE_FLT_1033","NiWUE_Rothamsted_061_2019_straw","16584","C",-26.8992,45.2220666200117,5711
"NiWUE_FLT_1034","NiWUE_Rothamsted_071_2019_grain","16585","C",-25.8142,43.7524965426853,5562
"NiWUE_FLT_1035","NiWUE_Rothamsted_071_2019_straw","16587","C",-27.2622,45.6491063468937,5721
"NiWUE_FLT_1036","NiWUE_Rothamsted_081_2019_grain","16588","C",-26.1842,43.179565827413,5588
"NiWUE_FLT_1037","NiWUE_Rothamsted_081_2019_straw","16589","C",-27.2482,45.9815650007642,5607
"NiWUE_FLT_1038","NiWUE_Rothamsted_091_2019_grain","16590","C",-26.8512,43.3176322057822,5255
"NiWUE_FLT_1039","NiWUE_Rothamsted_091_2019_straw","16591","C",-27.7462,37.0882308020619,5622
"NiWUE_FLT_1040","NiWUE_Rothamsted_031_2020_grain","16592","C",-26.6262,43.6681234938237,5493
"NiWUE_FLT_1041","NiWUE_Rothamsted_031_2020_straw","16593","C",-27.4152,43.9546856286812,5590
"NiWUE_FLT_976","NiWUE_Rothamsted_081_2013_grain","16503","C",-26.1141428571429,43.1632139507942,5573
"NiWUE_FLT_977","NiWUE_Rothamsted_081_2013_straw","16504","C",-27.3101428571429,45.8400157782357,5880
"NiWUE_FLT_978","NiWUE_Rothamsted_091_2013_grain","16505","C",-25.6061428571429,43.3989173174091,5615
"NiWUE_FLT_979","NiWUE_Rothamsted_091_2013_straw","16506","C",-26.9471428571429,45.9802006032957,5822
"NiWUE_FLT_980","NiWUE_Rothamsted_031_2014_grain","16507","C",-24.6351428571429,44.0063292906841,5615
"NiWUE_FLT_981","NiWUE_Rothamsted_031_2014_straw","16508","C",-27.0651428571429,44.9256985602714,5600
"NiWUE_FLT_982","NiWUE_Rothamsted_061_2014_grain","16511","C",-24.5741428571429,43.7134316289559,5739
