"massspectroscopy_ID","UID","Analysis","atom","delta","percentage","amplitude"
"NiWUE_FLT_1000","NiWUE_Rothamsted_031_2016_grain","16537","N",3.2602,1.38265905639975,1546
"NiWUE_FLT_1002","NiWUE_Rothamsted_061_2016_grain","16539","N",2.9832,1.24487983611974,1347
"NiWUE_FLT_1004","NiWUE_Rothamsted_071_2016_grain","16541","N",3.6962,1.52367695010287,1728
"NiWUE_FLT_1006","NiWUE_Rothamsted_081_2016_grain","16548","N",3.7312,1.63592702472377,1781
"NiWUE_FLT_1008","NiWUE_Rothamsted_091_2016_grain","16550","N",3.5422,1.9200429410358,2144
"NiWUE_FLT_1010","NiWUE_Rothamsted_031_2017_grain","16552","N",2.7412,1.576737932152,1762
"NiWUE_FLT_1012","NiWUE_Rothamsted_061_2017_grain","16555","N",4.7332,1.80038303466423,2067
"NiWUE_FLT_1014","NiWUE_Rothamsted_071_2017_grain","16557","N",4.9722,2.25648134678466,2583
"NiWUE_FLT_1016","NiWUE_Rothamsted_081_2017_grain","16559","N",4.4762,2.50040855434928,2873
"NiWUE_FLT_1018","NiWUE_Rothamsted_091_2017_grain","16561","N",3.3492,2.6328826574273,2964
"NiWUE_FLT_1020","NiWUE_Rothamsted_031_2018_grain","16565","N",2.0846,1.74228236997613,1880
"NiWUE_FLT_1022","NiWUE_Rothamsted_061_2018_grain","16568","N",3.8776,1.87463145491393,2072
"NiWUE_FLT_1024","NiWUE_Rothamsted_071_2018_grain","16570","N",3.7526,1.80355507323937,1979
"NiWUE_FLT_1026","NiWUE_Rothamsted_081_2018_grain","16572","N",5.5006,2.20268323881748,2387
"NiWUE_FLT_1028","NiWUE_Rothamsted_091_2018_grain","16579","N",4.0836,2.38613227433534,2613
"NiWUE_FLT_1030","NiWUE_Rothamsted_031_2019_grain","16581","N",1.7316,1.27005781743981,1443
"NiWUE_FLT_1032","NiWUE_Rothamsted_061_2019_grain","16583","N",3.5156,1.56262982411417,1779
"NiWUE_FLT_1034","NiWUE_Rothamsted_071_2019_grain","16585","N",2.2826,1.8807573874433,2121
"NiWUE_FLT_1036","NiWUE_Rothamsted_081_2019_grain","16588","N",3.7986,1.92304605387684,2213
"NiWUE_FLT_1038","NiWUE_Rothamsted_091_2019_grain","16590","N",2.4716,2.18834560754298,2341
"NiWUE_FLT_1040","NiWUE_Rothamsted_031_2020_grain","16592","N",1.8656,1.81893417698638,2030
"NiWUE_FLT_976","NiWUE_Rothamsted_081_2013_grain","16503","N",3.99957142857143,1.68130729134676,1929
"NiWUE_FLT_978","NiWUE_Rothamsted_091_2013_grain","16505","N",5.24457142857143,2.02014832801841,2324
"NiWUE_FLT_980","NiWUE_Rothamsted_031_2014_grain","16507","N",2.81757142857143,1.38913254014739,1580
"NiWUE_FLT_982","NiWUE_Rothamsted_061_2014_grain","16511","N",3.68257142857143,1.20685398815708,1416
"NiWUE_FLT_984","NiWUE_Rothamsted_071_2014_grain","16513","N",3.18157142857143,1.4095476954792,1594
"NiWUE_FLT_986","NiWUE_Rothamsted_081_2014_grain","16515","N",3.44557142857143,1.61111288460215,1876
"NiWUE_FLT_988","NiWUE_Rothamsted_091_2014_grain","16517","N",3.59857142857143,1.90109966189184,2145
"NiWUE_FLT_990","NiWUE_Rothamsted_031_2015_grain","16524","N",3.44057142857143,1.94374875057658,2286
"NiWUE_FLT_992","NiWUE_Rothamsted_061_2015_grain","16526","N",5.57157142857143,1.66640476802862,1880
"NiWUE_FLT_994","NiWUE_Rothamsted_071_2015_grain","16528","N",5.87757142857143,1.84868244384625,2114
"NiWUE_FLT_996","NiWUE_Rothamsted_081_2015_grain","16532","N",5.4012,1.82367964620778,2057
"NiWUE_FLT_998","NiWUE_Rothamsted_091_2015_grain","16535","N",5.4962,2.19943722526189,2484
